2025-07-15 19:57:47.999 [main] INFO  com.clothes.datn.DatnApplication - [Ljava.lang.String;@35dab4eb
2025-07-15 19:57:48.120 [restartedMain] INFO  com.clothes.datn.DatnApplication - [Ljava.lang.String;@35dab4eb
2025-07-15 19:57:48.438 [restartedMain] INFO  com.clothes.datn.DatnApplication - Starting DatnApplication using Java 17.0.12 with PID 6288 (E:\Home\Source\bernie_ki\datn-d\target\classes started by dangq in E:\Home\Source\bernie_ki\datn-d)
2025-07-15 19:57:48.443 [restartedMain] INFO  com.clothes.datn.DatnApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-15 19:57:48.491 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-07-15 19:57:48.492 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-07-15 19:57:49.369 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-07-15 19:57:49.480 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 102 ms. Found 15 JPA repository interfaces.
2025-07-15 19:57:50.419 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-07-15 19:57:50.620 [restartedMain] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2126 ms
2025-07-15 19:57:51.032 [restartedMain] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-07-15 19:57:51.246 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2025-07-15 19:57:51.330 [restartedMain] INFO  org.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-07-15 19:57:51.751 [restartedMain] INFO  org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-07-15 19:57:51.941 [restartedMain] WARN  org.hibernate.dialect.Dialect - HHH000511: The 5.5.0 version for [org.hibernate.dialect.MySQLDialect] is no longer supported, hence certain features may not work properly. The minimum supported version is 8.0.0. Check the community dialects project for available legacy versions.
2025-07-15 19:57:53.091 [restartedMain] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-07-15 19:57:53.274 [restartedMain] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-07-15 19:57:53.959 [restartedMain] INFO  org.springframework.data.jpa.repository.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-07-15 19:57:55.253 [restartedMain] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-07-15 19:57:57.153 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4ff962ee, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@504e53b, org.springframework.security.web.context.SecurityContextHolderFilter@67ee60b1, org.springframework.security.web.header.HeaderWriterFilter@1efc29b4, org.springframework.web.filter.CorsFilter@2202018c, org.springframework.security.web.authentication.logout.LogoutFilter@27c96ca3, com.clothes.datn.security.JwtAuthenticationFilter@298601f1, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@55ee34e8, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@344430da, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6bb9f2fa, org.springframework.security.web.session.SessionManagementFilter@6a3cd361, org.springframework.security.web.access.ExceptionTranslationFilter@1b1765db, org.springframework.security.web.access.intercept.AuthorizationFilter@133b2193]
2025-07-15 19:57:58.083 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-07-15 19:57:58.171 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2025-07-15 19:57:58.186 [restartedMain] INFO  com.clothes.datn.DatnApplication - Started DatnApplication in 10.063 seconds (process running for 10.931)
